OBJECTID,ZIPCODE2,ZIPNAME,EXISTING,ZIPCODE1,Shape_Length,Shape_Area
317,02451021208,Pikesville,MDPV2017_18,21208,5451.67920917752,835532.836970866
318,02451021209,Mt Washington,MDPV2017_18,21209,24091.2796854239,13242876.8172387
319,02451021210,Roland Park,MDPV2017_18,21210,19491.9220469542,12092020.3783624
320,02451021211,Baltimore,MDPV2017_18,21211,17346.5557641232,8613473.26949877
321,02451021212,Govans,MDPV2017_18,21212,17015.8305103301,10828682.1907797
322,02451021213,Clifton,MDPV2017_18,21213,19164.5277076091,14603517.9770089
323,02451021214,Baltimore,MDPV2017_18,21214,18536.2060466269,12361680.4812695
324,02451021215,Arlington,MDPV2017_18,21215,30865.546757523,28396012.4474521
325,02451021216,Baltimore,MDPV2017_18,21216,18512.0682213401,14308850.0023559
326,02451021217,Druid,MDPV2017_18,21217,19679.6589345291,13691930.189235
327,02451021218,Baltimore,MDPV2017_18,21218,22918.4455573215,18758869.2903275
328,02451021222,Dundalk,MDPV2017_18,21222,14643.0678488317,3207642.21388593
329,02451021223,Franklin,MDPV2017_18,21223,18113.9430277898,10663923.1584032
330,02451021224,Highlandtown,MDPV2017_18,21224,45894.3401089008,29899548.8170765
331,02451021225,Brooklyn,MDPV2017_18,21225,22866.3180365271,10756224.8122768
332,02451021226,Curtis Bay,MDPV2017_18,21226,57396.6781763041,20506172.5633801
333,02451021227,Halethorpe,MDPV2017_18,21227,12844.7539742566,1731874.12076386
334,02451021228,Catonsville,MDPV2017_18,21228,4065.94466135122,332127.757755858
335,02451021229,Carroll,MDPV2017_18,21229,24042.5122189429,22715336.0246756
336,02451021230,Morrell Park,MDPV2017_18,21230,59904.4170754399,27340035.198943
337,02451021231,Baltimore,MDPV2017_18,21231,14529.0896789253,3571275.09933219
338,02451021234,Parkville,MDPV2017_18,21234,12879.413643356,4820094.17051199
339,02451021236,Nottingham,MDPV2017_18,21236,3448.79101373013,663461.234740824
